fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.06818,1.0,88.0,6.0,0.0,0.7568672299385071,0.969264566898346,100249537_00064_1,0.9361702127659575,1.0,0.967032967032967
0.03788,1.0,132.0,5.0,0.0,0.5494783520698547,0.7524752616882324,200021853-00008_1,0.9635036496350365,1.0,0.9814126394052044
0.00929,0.89474,289.0,3.0,34.0,0.2698506414890289,0.3069306910037994,200004148_00039_2,0.9897260273972602,0.8947368421052632,0.9398373983739837
0.01629,0.99349,305.0,5.0,2.0,0.2730546593666076,0.3267326653003692,200014740-00071_1,0.9838709677419355,0.993485342019544,0.9886547811993517
0.03093,0.97938,190.0,6.0,4.0,0.4171142280101776,0.5148515105247498,umgy012-007,0.9693877551020408,0.979381443298969,0.9743589743589743
0.05,0.91667,55.0,3.0,5.0,0.4360239505767822,0.7075495719909668,200021869-00016_2,0.9482758620689655,0.9166666666666666,0.9322033898305084
0.01117,0.96927,347.0,4.0,11.0,0.2353855073451995,0.2772277295589447,brsk005-037,0.9886039886039886,0.9692737430167597,0.9788434414668548
0.01232,0.97044,394.0,5.0,12.0,0.205646812915802,0.2475247532129287,brsk004-036,0.9874686716791979,0.9704433497536946,0.9788819875776397
0.00571,0.98857,346.0,2.0,4.0,0.241254448890686,0.2871287167072296,200021660-00042_2,0.9942528735632183,0.9885714285714285,0.991404011461318
0.02094,0.98953,189.0,4.0,2.0,0.4476958215236664,0.5247524976730347,200003076_00162_1,0.9792746113989638,0.9895287958115183,0.984375
0.0,0.99441,178.0,0.0,1.0,0.4559608399868011,0.5544554591178894,200005598_00027_2,1.0,0.994413407821229,0.9971988795518207
0.0131,0.99563,228.0,3.0,1.0,0.3731797337532043,0.4356435537338257,200003076_00006_1,0.987012987012987,0.9956331877729258,0.991304347826087
0.0297,0.9901,100.0,3.0,1.0,0.7090315222740173,0.9548919200897216,200021851_00007_2,0.970873786407767,0.9900990099009901,0.9803921568627452
0.1875,0.9625,77.0,15.0,3.0,0.5994163751602173,0.867000162601471,hnsd004-003,0.8369565217391305,0.9625,0.8953488372093024
0.04469,0.98324,176.0,8.0,3.0,0.4775919318199157,0.5544554591178894,umgy006-034,0.9565217391304348,0.9832402234636871,0.9696969696969696
0.01719,0.9914,346.0,6.0,3.0,0.2428944259881973,0.2871287167072296,brsk002-029,0.9829545454545454,0.9914040114613181,0.9871611982881598
0.01075,1.0,186.0,2.0,0.0,0.4650841653347015,0.5346534848213196,umgy009-002,0.9893617021276596,1.0,0.9946524064171123
0.0177,0.99115,224.0,4.0,2.0,0.3757039308547973,0.4455445408821106,200003076_00056_2,0.9824561403508771,0.9911504424778761,0.9867841409691629
0.00946,1.0,317.0,3.0,0.0,0.2779609262943268,0.3168316781520843,200014740-00018_2,0.990625,1.0,0.9952904238618524
0.06349,0.98942,187.0,12.0,2.0,0.2766392529010772,0.5247524976730347,100249476_00014_2,0.9396984924623115,0.9894179894179894,0.9639175257731958
0.01626,1.0,123.0,2.0,0.0,0.6869938373565674,0.8118811845779419,200021712-00010_2,0.984,1.0,0.9919354838709677
0.0582,0.96825,183.0,11.0,6.0,0.3944591581821441,0.5247524976730347,200005598_00021_2,0.9432989690721649,0.9682539682539683,0.9556135770234987
0.06289,0.97484,155.0,10.0,4.0,0.4940725862979889,0.6232672929763794,100249416_00027_2,0.9393939393939394,0.9748427672955975,0.9567901234567902
0.03409,0.98864,87.0,3.0,1.0,0.7236294150352478,0.978951334953308,200021853-00032_2,0.9666666666666667,0.9886363636363636,0.9775280898876404
0.22222,0.74074,20.0,6.0,7.0,0.1688967645168304,0.3444163501262665,200021869-00015_2,0.7692307692307693,0.7407407407407407,0.7547169811320754
0.08163,0.97959,96.0,8.0,2.0,0.7037798762321472,0.9167816638946532,100249376_00027_1,0.9230769230769231,0.9795918367346939,0.9504950495049506
