fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.03125,0.99479,191.0,6.0,1.0,0.2838464975357055,0.5247524976730347,test_1,0.9695431472081218,0.9947916666666666,0.9820051413881749
0.03559,0.96441,271.0,10.0,10.0,0.1713771373033523,0.3401980400085449,test_24,0.9644128113879004,0.9644128113879004,0.9644128113879004
0.06122,0.95918,188.0,12.0,8.0,0.2321285754442215,0.5049505233764648,test_53,0.94,0.9591836734693877,0.9494949494949495
0.10303,0.84242,139.0,17.0,26.0,0.209151029586792,0.5141502618789673,test_75,0.8910256410256411,0.8424242424242424,0.8660436137071651
0.06557,0.97814,179.0,12.0,4.0,0.2531332075595855,0.5051736831665039,test_48,0.93717277486911,0.9781420765027322,0.9572192513368983
0.16667,1.0,12.0,2.0,0.0,0.2988721430301666,0.8490098714828491,test_61,0.8571428571428571,1.0,0.923076923076923
0.09259,1.0,54.0,5.0,0.0,0.4935202598571777,0.927391529083252,test_73,0.9152542372881356,1.0,0.9557522123893806
0.05755,0.97842,136.0,8.0,3.0,0.3040184080600738,0.6585595011711121,test_8,0.9444444444444444,0.9784172661870504,0.96113074204947
0.01737,0.95285,384.0,7.0,19.0,0.1046106815338134,0.2475247532129287,test_21,0.9820971867007673,0.9528535980148883,0.9672544080604534
0.35714,1.0,14.0,5.0,0.0,0.4175247550010681,0.7673267126083374,test_62,0.7368421052631579,1.0,0.8484848484848484
0.01657,0.95304,345.0,6.0,17.0,0.1713543087244033,0.2771286964416504,test_15,0.9829059829059829,0.9530386740331491,0.9677419354838709
0.02062,0.90206,350.0,8.0,38.0,0.1572963297367096,0.2574257552623749,test_16,0.9776536312849162,0.9020618556701031,0.938337801608579
4.0,1.0,2.0,8.0,0.0,0.1200000196695327,0.3999999761581421,test_55,0.2,1.0,0.33333333333333337
0.03631,0.9581,343.0,13.0,15.0,0.1613938361406326,0.2728103399276733,test_19,0.9634831460674157,0.9581005586592178,0.9607843137254901
0.02941,1.0,102.0,3.0,0.0,0.3717263042926788,0.8966065049171448,test_23,0.9714285714285714,1.0,0.9855072463768115
0.04206,0.97196,208.0,9.0,6.0,0.2133482098579406,0.4628713130950928,test_52,0.9585253456221198,0.9719626168224299,0.9651972157772621
0.0332,0.92946,224.0,8.0,17.0,0.1870937049388885,0.383762389421463,test_34,0.9655172413793104,0.9294605809128631,0.9471458773784356
0.06897,1.0,29.0,2.0,0.0,0.4375676214694977,0.8959387540817261,test_60,0.9354838709677419,1.0,0.9666666666666666
0.14754,1.0,61.0,9.0,0.0,0.4236963391304016,0.9610179662704468,test_63,0.8714285714285714,1.0,0.9312977099236641
0.03271,0.99065,212.0,7.0,2.0,0.2273841053247451,0.4642574191093445,test_32,0.9680365296803652,0.9906542056074766,0.9792147806004619
0.07143,1.0,84.0,6.0,0.0,0.4628260135650635,0.9717977643013,test_28,0.9333333333333333,1.0,0.9655172413793104
0.05473,0.97015,195.0,11.0,6.0,0.2335375249385833,0.4699330031871795,test_46,0.9466019417475728,0.9701492537313433,0.9582309582309582
0.04467265725288832,0.9558408215661104,3723.0,174.0,172.0,0.269791227850047,0.5705721479925242,fold0,0.9553502694380293,0.9558408215661104,0.9555954825462012
0.03125,0.99479,191.0,6.0,1.0,0.2788492739200592,0.5247524976730347,test_1,0.9695431472081218,0.9947916666666666,0.9820051413881749
0.0427,0.97153,273.0,12.0,8.0,0.1696611046791076,0.3400000035762787,test_24,0.9578947368421052,0.9715302491103203,0.9646643109540636
0.07653,0.95918,188.0,15.0,8.0,0.2326257526874542,0.5037623047828674,test_53,0.9261083743842364,0.9591836734693877,0.9423558897243107
0.10909,0.84848,140.0,18.0,25.0,0.1925690025091171,0.4975069165229797,test_75,0.8860759493670886,0.8484848484848485,0.8668730650154798
0.04918,0.97268,178.0,9.0,5.0,0.2575172483921051,0.5153886675834656,test_48,0.9518716577540107,0.9726775956284153,0.9621621621621621
0.41667,1.0,12.0,5.0,0.0,0.338447242975235,0.8090523481369019,test_61,0.7058823529411765,1.0,0.8275862068965517
0.12963,1.0,54.0,7.0,0.0,0.4971013069152832,0.9304778575897216,test_73,0.8852459016393442,1.0,0.9391304347826086
0.06475,0.99281,138.0,9.0,1.0,0.2969699800014496,0.6498411297798157,test_8,0.9387755102040817,0.9928057553956835,0.965034965034965
0.01737,0.94541,381.0,7.0,22.0,0.1006643325090408,0.2475247532129287,test_21,0.9819587628865979,0.9454094292803971,0.9633375474083439
0.35714,1.0,14.0,5.0,0.0,0.411336600780487,0.7764027118682861,test_62,0.7368421052631579,1.0,0.8484848484848484
0.01381,0.94199,341.0,5.0,21.0,0.1753354370594024,0.2772277295589447,test_15,0.9855491329479769,0.9419889502762431,0.963276836158192
0.01804,0.90722,352.0,7.0,36.0,0.1549915969371795,0.2574257552623749,test_16,0.9805013927576601,0.9072164948453608,0.9424364123159303
5.0,1.0,2.0,10.0,0.0,0.1633663326501846,0.3762376308441162,test_55,0.16666666666666666,1.0,0.2857142857142857
0.03631,0.9581,343.0,13.0,15.0,0.172415554523468,0.2757425606250763,test_19,0.9634831460674157,0.9581005586592178,0.9607843137254901
0.03922,1.0,102.0,4.0,0.0,0.3583371639251709,0.8920791745185852,test_23,0.9622641509433962,1.0,0.9807692307692307
0.04206,0.97196,208.0,9.0,6.0,0.214180126786232,0.4653465449810028,test_52,0.9585253456221198,0.9719626168224299,0.9651972157772621
0.0332,0.94606,228.0,8.0,13.0,0.1913027316331863,0.3988119065761566,test_34,0.9661016949152542,0.946058091286307,0.9559748427672956
0.10345,1.0,29.0,3.0,0.0,0.4356880486011505,0.931939959526062,test_60,0.90625,1.0,0.9508196721311475
0.14754,1.0,61.0,9.0,0.0,0.3896026015281677,0.959278166294098,test_63,0.8714285714285714,1.0,0.9312977099236641
0.02804,0.99533,213.0,6.0,1.0,0.2312957197427749,0.4624752402305603,test_32,0.9726027397260274,0.9953271028037384,0.9838337182448037
0.05952,1.0,84.0,5.0,0.0,0.460112452507019,0.98978191614151,test_28,0.9438202247191011,1.0,0.9710982658959537
0.04478,0.98507,198.0,9.0,3.0,0.2300772815942764,0.4793484508991241,test_46,0.9565217391304348,0.9850746268656716,0.9705882352941176
0.046469833119383824,0.9576379974326059,3730.0,181.0,165.0,0.2705657678571614,0.5709274648265406,fold1,0.9537202761442086,0.9576379974326059,0.9556751217012555
0.03125,0.98958,190.0,6.0,2.0,0.2817204296588897,0.5138612985610962,test_1,0.9693877551020408,0.9895833333333334,0.9793814432989691
0.03915,0.96797,272.0,11.0,9.0,0.1601872742176056,0.334740400314331,test_24,0.9611307420494699,0.9679715302491103,0.9645390070921985
0.05612,0.96429,189.0,11.0,7.0,0.239140436053276,0.5148515105247498,test_53,0.945,0.9642857142857143,0.9545454545454546
0.10909,0.83636,138.0,18.0,27.0,0.2060276567935943,0.5047284960746765,test_75,0.8846153846153846,0.8363636363636363,0.8598130841121494
0.06011,0.98907,181.0,11.0,2.0,0.2464461773633957,0.5103259682655334,test_48,0.9427083333333334,0.9890710382513661,0.9653333333333333
0.33333,1.0,12.0,4.0,0.0,0.3401493430137634,0.8987051844596863,test_61,0.75,1.0,0.8571428571428571
0.12963,1.0,54.0,7.0,0.0,0.4658731520175934,0.9117648601531982,test_73,0.8852459016393442,1.0,0.9391304347826086
0.06475,0.99281,138.0,9.0,1.0,0.3450910151004791,0.6702544093132019,test_8,0.9387755102040817,0.9928057553956835,0.965034965034965
0.01985,0.93548,377.0,8.0,26.0,0.1041901707649231,0.2454477101564407,test_21,0.9792207792207792,0.9354838709677419,0.9568527918781725
0.42857,1.0,14.0,6.0,0.0,0.4035941958427429,0.7477024793624878,test_62,0.7,1.0,0.8235294117647058
0.01105,0.94199,341.0,4.0,21.0,0.1654437929391861,0.2772277295589447,test_15,0.9884057971014493,0.9419889502762431,0.9646393210749645
0.01804,0.90464,351.0,7.0,37.0,0.1494270861148834,0.2574257552623749,test_16,0.9804469273743017,0.904639175257732,0.9410187667560321
4.5,1.0,2.0,9.0,0.0,0.02524752356112,0.0841584131121635,test_55,0.18181818181818182,1.0,0.3076923076923077
0.03631,0.94134,337.0,13.0,21.0,0.1648493111133575,0.2757554650306701,test_19,0.9628571428571429,0.9413407821229051,0.9519774011299434
0.02941,0.98039,100.0,3.0,2.0,0.3438911139965057,0.893489420413971,test_23,0.970873786407767,0.9803921568627451,0.975609756097561
0.06075,0.97664,209.0,13.0,5.0,0.2182083874940872,0.4648514688014984,test_52,0.9414414414414415,0.9766355140186916,0.9587155963302753
0.02905,0.93776,226.0,7.0,15.0,0.1822626292705536,0.3912418186664581,test_34,0.9699570815450643,0.9377593360995851,0.9535864978902954
0.10345,1.0,29.0,3.0,0.0,0.4624629914760589,0.8880639672279358,test_60,0.90625,1.0,0.9508196721311475
0.09836,0.98361,60.0,6.0,1.0,0.3795799911022186,0.9031118154525756,test_63,0.9090909090909091,0.9836065573770492,0.9448818897637795
0.03738,0.99533,213.0,8.0,1.0,0.2215305566787719,0.4647524356842041,test_32,0.9638009049773756,0.9953271028037384,0.9793103448275862
0.05952,1.0,84.0,5.0,0.0,0.4432011246681213,0.9703383445739746,test_28,0.9438202247191011,1.0,0.9710982658959537
0.04975,0.97015,195.0,10.0,6.0,0.2265212088823318,0.4656490683555603,test_46,0.9512195121951219,0.9701492537313433,0.9605911330049262
0.04595635430038511,0.9530166880616174,3712.0,179.0,183.0,0.2625020712783391,0.5540203645148061,fold2,0.9539964019532254,0.9530166880616174,0.9535062933470332
0.03646,0.97917,188.0,7.0,4.0,0.2576547861099243,0.5113860964775085,test_1,0.9641025641025641,0.9791666666666666,0.9715762273901809
0.03559,0.96797,272.0,10.0,9.0,0.1756058931350708,0.3529702723026275,test_24,0.9645390070921985,0.9679715302491103,0.9662522202486677
0.04082,0.95918,188.0,8.0,8.0,0.2283967733383178,0.5048514604568481,test_53,0.9591836734693877,0.9591836734693877,0.9591836734693877
0.11515,0.84848,140.0,19.0,25.0,0.1881002634763717,0.4927464723587036,test_75,0.8805031446540881,0.8484848484848485,0.8641975308641976
0.06011,0.98361,180.0,11.0,3.0,0.2649303376674652,0.5301137566566467,test_48,0.9424083769633508,0.9836065573770492,0.9625668449197861
0.25,1.0,12.0,3.0,0.0,0.4104368984699249,0.9042903780937196,test_61,0.8,1.0,0.888888888888889
0.11111,1.0,54.0,6.0,0.0,0.4744715094566345,0.9192439913749696,test_73,0.9,1.0,0.9473684210526316
0.06475,0.99281,138.0,9.0,1.0,0.2860393822193146,0.6632528305053711,test_8,0.9387755102040817,0.9928057553956835,0.965034965034965
0.02233,0.93548,377.0,9.0,26.0,0.0979478061199188,0.2469306737184524,test_21,0.9766839378238342,0.9354838709677419,0.9556400506970848
0.35714,1.0,14.0,5.0,0.0,0.4139191210269928,0.8514851331710815,test_62,0.7368421052631579,1.0,0.8484848484848484
0.01381,0.94751,343.0,5.0,19.0,0.1815588176250457,0.2769306898117065,test_15,0.985632183908046,0.9475138121546961,0.9661971830985915
0.01804,0.91495,355.0,7.0,33.0,0.1645472794771194,0.2574257552623749,test_16,0.9806629834254144,0.9149484536082474,0.9466666666666665
4.0,1.0,2.0,8.0,0.0,0.02524752356112,0.0841584131121635,test_55,0.2,1.0,0.33333333333333337
0.03352,0.95531,342.0,12.0,16.0,0.1709365844726562,0.2750700712203979,test_19,0.9661016949152542,0.9553072625698324,0.9606741573033708
0.02941,0.9902,101.0,3.0,1.0,0.3683818876743316,0.930288016796112,test_23,0.9711538461538461,0.9901960784313726,0.9805825242718447
0.04673,0.97196,208.0,10.0,6.0,0.2007310390472412,0.4535458981990814,test_52,0.9541284403669725,0.9719626168224299,0.962962962962963
0.04564,0.93361,225.0,11.0,16.0,0.1860173940658569,0.4004536867141723,test_34,0.9533898305084746,0.9336099585062241,0.9433962264150942
0.13793,1.0,29.0,4.0,0.0,0.4633245766162872,0.8884653449058533,test_60,0.8787878787878788,1.0,0.9354838709677419
0.08197,1.0,61.0,5.0,0.0,0.3952154219150543,0.9345001578330994,test_63,0.9242424242424242,1.0,0.9606299212598425
0.02804,0.99533,213.0,6.0,1.0,0.2356641888618469,0.4628713130950928,test_32,0.9726027397260274,0.9953271028037384,0.9838337182448037
0.05952,1.0,84.0,5.0,0.0,0.4692207276821136,0.994799256324768,test_28,0.9438202247191011,1.0,0.9710982658959537
0.04975,0.98507,198.0,10.0,3.0,0.2342767268419265,0.4701238870620727,test_46,0.9519230769230769,0.9850746268656716,0.9682151589242054
0.04441591784338896,0.9560975609756097,3724.0,173.0,171.0,0.2678465881300243,0.5639047070660375,fold3,0.9556068770849371,0.9560975609756097,0.9558521560574949
0.03125,0.98438,189.0,6.0,3.0,0.2599253058433532,0.5069819688796997,test_1,0.9692307692307692,0.984375,0.9767441860465116
0.03203,0.96441,271.0,9.0,10.0,0.157037615776062,0.3245490491390228,test_24,0.9678571428571429,0.9644128113879004,0.966131907308378
0.06122,0.94898,186.0,12.0,10.0,0.22255939245224,0.5046534538269043,test_53,0.9393939393939394,0.9489795918367347,0.9441624365482234
0.10303,0.82424,136.0,17.0,29.0,0.1819037795066833,0.4766809046268463,test_75,0.8888888888888888,0.8242424242424242,0.8553459119496855
0.06557,0.97814,179.0,12.0,4.0,0.242279052734375,0.5256435871124268,test_48,0.93717277486911,0.9781420765027322,0.9572192513368983
0.5,1.0,12.0,6.0,0.0,0.3392559587955475,0.7794780135154724,test_61,0.6666666666666666,1.0,0.8
0.14815,1.0,54.0,8.0,0.0,0.463852971792221,0.9391760230064392,test_73,0.8709677419354839,1.0,0.9310344827586207
0.06475,0.97842,136.0,9.0,3.0,0.3398860096931457,0.6758416295051575,test_8,0.9379310344827586,0.9784172661870504,0.9577464788732394
0.02233,0.91067,367.0,9.0,36.0,0.0999871790409088,0.2475247532129287,test_21,0.976063829787234,0.9106699751861043,0.9422336328626445
0.5,1.0,14.0,7.0,0.0,0.352494478225708,0.7132150530815125,test_62,0.6666666666666666,1.0,0.8
0.01657,0.93646,339.0,6.0,23.0,0.1738099008798599,0.2772277295589447,test_15,0.9826086956521739,0.93646408839779,0.958981612446959
0.0232,0.90206,350.0,9.0,38.0,0.1522619128227234,0.2574257552623749,test_16,0.9749303621169917,0.9020618556701031,0.9370816599732263
6.0,1.0,2.0,12.0,0.0,0.0189356431365013,0.0631188154220581,test_55,0.14285714285714285,1.0,0.25
0.03631,0.93855,336.0,13.0,22.0,0.1600570827722549,0.2627284228801727,test_19,0.9627507163323782,0.9385474860335196,0.9504950495049505
0.02941,0.98039,100.0,3.0,2.0,0.3665795922279358,0.9228712916374208,test_23,0.970873786407767,0.9803921568627451,0.975609756097561
0.04673,0.96729,207.0,10.0,7.0,0.212260752916336,0.4645544290542602,test_52,0.9539170506912442,0.9672897196261683,0.9605568445475638
0.0332,0.93776,226.0,8.0,15.0,0.1881287395954132,0.3825742602348327,test_34,0.9658119658119658,0.9377593360995851,0.9515789473684211
0.31034,1.0,29.0,9.0,0.0,0.3941109180450439,0.8392537832260132,test_60,0.7631578947368421,1.0,0.8656716417910448
0.16393,0.98361,60.0,10.0,1.0,0.3645936846733093,0.8413012027740479,test_63,0.8571428571428571,0.9836065573770492,0.916030534351145
0.02804,0.99065,212.0,6.0,2.0,0.2376052737236023,0.4653465449810028,test_32,0.9724770642201835,0.9906542056074766,0.9814814814814815
0.05952,0.9881,83.0,5.0,1.0,0.436352401971817,0.963652491569519,test_28,0.9431818181818182,0.9880952380952381,0.9651162790697674
0.04975,0.9801,197.0,10.0,4.0,0.216939777135849,0.4588032960891723,test_46,0.9516908212560387,0.9800995024875622,0.965686274509804
0.0503209242618742,0.9460847240051348,3685.0,196.0,210.0,0.25367351926185866,0.5405728390271013,fold4,0.9494975521772739,0.9460847240051348,0.9477880658436215
0.046367137355584086,0.9537355584082157,3714.8,180.6,180.2,0.2648758348754861,0.5599995046854019,promedio,0.9536342753595349,0.9537355584082157,0.9536834238991212
