fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.33333,0.66667,2.0,1.0,1.0,200021869-00003_1,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.0,1.0,184.0,0.0,0.0,umgy011-031,1.0,1.0,1.0
0.00338,1.0,296.0,1.0,0.0,200021660-00077_1,0.9966329966329966,1.0,0.9983136593591906
0.0,1.0,153.0,0.0,0.0,200003076_00004_2,1.0,1.0,1.0
0.01892,0.99459,368.0,7.0,2.0,brsk002-060,0.9813333333333333,0.9945945945945946,0.9879194630872483
0.01205,0.98795,164.0,2.0,2.0,200021853-00025_2,0.9879518072289156,0.9879518072289156,0.9879518072289156
0.0,0.99248,132.0,0.0,1.0,100249416_00009_2,1.0,0.9924812030075187,0.9962264150943396
0.00549,0.98901,360.0,2.0,4.0,brsk002-047,0.994475138121547,0.989010989010989,0.9917355371900827
0.0,0.99029,102.0,0.0,1.0,100249371_00005_2,1.0,0.9902912621359223,0.9951219512195122
0.02,1.0,200.0,4.0,0.0,umgy004-024,0.9803921568627451,1.0,0.99009900990099
0.00538,0.99462,185.0,1.0,1.0,hnsd008-025,0.9946236559139785,0.9946236559139785,0.9946236559139785
0.01942,0.94175,97.0,2.0,6.0,umgy007-011,0.9797979797979798,0.941747572815534,0.9603960396039605
0.01656,0.99669,301.0,5.0,1.0,200014740-00069_2,0.9836601307189542,0.9966887417218543,0.9901315789473684
0.01042,1.0,96.0,1.0,0.0,200021660-00075_1,0.9896907216494846,1.0,0.9948186528497409
0.0,1.0,352.0,0.0,0.0,brsk005-029,1.0,1.0,1.0
0.0,1.0,206.0,0.0,0.0,hnsd004-014,1.0,1.0,1.0
0.0,1.0,134.0,0.0,0.0,100241706_00017_1,1.0,1.0,1.0
0.0099,1.0,202.0,2.0,0.0,200015779_00107_1,0.9901960784313726,1.0,0.9950738916256158
0.00493,0.99507,202.0,1.0,1.0,200003076_00107_2,0.9950738916256158,0.9950738916256158,0.9950738916256159
0.0,1.0,135.0,0.0,0.0,100241706_00018_2,1.0,1.0,1.0
0.01111,0.98611,355.0,4.0,5.0,brsk001-023,0.9888579387186629,0.9861111111111112,0.9874826147426982
