fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.04545,1.0,88.0,4.0,0.0,100249537_00064_1,0.9565217391304348,1.0,0.9777777777777777
0.0303,0.97727,129.0,4.0,3.0,200021853-00008_1,0.9699248120300752,0.9772727272727273,0.9735849056603774
0.00619,0.89164,288.0,2.0,35.0,200004148_00039_2,0.993103448275862,0.891640866873065,0.9396411092985318
0.01303,0.99674,306.0,4.0,1.0,200014740-00071_1,0.9870967741935484,0.996742671009772,0.9918962722852512
0.01546,0.96907,188.0,3.0,6.0,umgy012-007,0.9842931937172775,0.9690721649484536,0.9766233766233767
0.1,0.9,54.0,6.0,6.0,200021869-00016_2,0.9,0.9,0.9
0.00559,0.94693,339.0,2.0,19.0,brsk005-037,0.9941348973607038,0.946927374301676,0.9699570815450644
0.00493,0.95567,388.0,2.0,18.0,brsk004-036,0.9948717948717949,0.9556650246305419,0.9748743718592966
0.00286,0.97429,341.0,1.0,9.0,200021660-00042_2,0.9970760233918129,0.9742857142857143,0.9855491329479769
0.00524,0.99476,190.0,1.0,1.0,200003076_00162_1,0.9947643979057592,0.9947643979057592,0.9947643979057592
0.00559,0.98324,176.0,1.0,3.0,200005598_00027_2,0.9943502824858758,0.9832402234636871,0.9887640449438202
0.00437,1.0,229.0,1.0,0.0,200003076_00006_1,0.9956521739130435,1.0,0.9978213507625272
0.0198,0.9802,99.0,2.0,2.0,200021851_00007_2,0.9801980198019802,0.9801980198019802,0.9801980198019802
0.15,0.975,78.0,12.0,2.0,hnsd004-003,0.8666666666666667,0.975,0.9176470588235294
0.03911,0.97207,174.0,7.0,5.0,umgy006-034,0.9613259668508287,0.9720670391061452,0.9666666666666666
0.01433,0.9914,346.0,5.0,3.0,brsk002-029,0.9857549857549858,0.9914040114613181,0.9885714285714285
0.00538,0.99462,185.0,1.0,1.0,umgy009-002,0.9946236559139785,0.9946236559139785,0.9946236559139785
0.01327,0.99115,224.0,3.0,2.0,200003076_00056_2,0.986784140969163,0.9911504424778761,0.988962472406181
0.00631,0.99685,316.0,2.0,1.0,200014740-00018_2,0.9937106918238994,0.9968454258675079,0.9952755905511811
0.02116,0.97884,185.0,4.0,4.0,100249476_00014_2,0.9788359788359788,0.9788359788359788,0.9788359788359788
0.00813,1.0,123.0,1.0,0.0,200021712-00010_2,0.9919354838709677,1.0,0.9959514170040485
0.03704,0.97884,185.0,7.0,4.0,200005598_00021_2,0.9635416666666666,0.9788359788359788,0.9711286089238844
0.03145,0.97484,155.0,5.0,4.0,100249416_00027_2,0.96875,0.9748427672955975,0.9717868338557993
0.01136,0.97727,86.0,1.0,2.0,200021853-00032_2,0.9885057471264368,0.9772727272727273,0.9828571428571428
0.33333,0.96296,26.0,9.0,1.0,200021869-00015_2,0.7428571428571429,0.9629629629629629,0.8387096774193549
0.03061,0.9898,97.0,3.0,1.0,100249376_00027_1,0.97,0.9897959183673469,0.9797979797979798
0.02717,0.99457,183.0,5.0,1.0,umgy009-005,0.973404255319149,0.9945652173913043,0.9838709677419355
0.14286,1.0,28.0,4.0,0.0,100249537_00031_1,0.875,1.0,0.9333333333333333
0.04132,0.99174,120.0,5.0,1.0,200015779_00013_1,0.96,0.9917355371900827,0.975609756097561
0.01235,0.87654,142.0,2.0,20.0,200021763-00027_2,0.9861111111111112,0.8765432098765432,0.9281045751633987
0.01408,0.93427,398.0,6.0,28.0,200022050-00011_2,0.9851485148514851,0.9342723004694836,0.9590361445783133
0.11905,0.94048,158.0,20.0,10.0,200021712-00031_1,0.8876404494382022,0.9404761904761905,0.9132947976878611
0.01258,0.99371,158.0,2.0,1.0,200021712-00014_1,0.9875,0.9937106918238994,0.9905956112852665
0.16667,0.83333,5.0,1.0,1.0,hnsd003-013,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.0093,0.99535,214.0,2.0,1.0,200003076_00160_2,0.9907407407407407,0.9953488372093023,0.9930394431554525
0.01667,0.92083,221.0,4.0,19.0,200015779_00022_1,0.9822222222222222,0.9208333333333333,0.9505376344086022
0.01478,0.96552,196.0,3.0,7.0,hnsd006-008,0.9849246231155779,0.9655172413793104,0.9751243781094528
0.0,0.97191,346.0,0.0,10.0,brsk002-045,1.0,0.9719101123595506,0.9857549857549858
0.00758,0.90909,240.0,2.0,24.0,200015779_00020_2,0.9917355371900827,0.9090909090909091,0.9486166007905139
0.03268,0.99346,152.0,5.0,1.0,200015779_00074_2,0.9681528662420382,0.9934640522875817,0.9806451612903226
0.01493,0.97612,327.0,5.0,8.0,brsk003-039,0.9849397590361446,0.9761194029850746,0.9805097451274363
0.025,1.0,40.0,1.0,0.0,100249537_00004_1,0.975609756097561,1.0,0.9876543209876543
1.82353,0.76471,13.0,31.0,4.0,200021660-00029_2,0.29545454545454547,0.7647058823529411,0.42622950819672134
0.0,0.98261,226.0,0.0,4.0,200003076_00049_1,1.0,0.9826086956521739,0.9912280701754386
0.02765,0.92627,201.0,6.0,16.0,umgy012-035,0.9710144927536232,0.9262672811059908,0.9481132075471699
0.18519,1.0,27.0,5.0,0.0,100249537_00075_1,0.84375,1.0,0.9152542372881356
0.00433,0.99567,230.0,1.0,1.0,200003076_00106_2,0.9956709956709957,0.9956709956709957,0.9956709956709957
1.0,0.66667,2.0,3.0,1.0,200021869-00003_1,0.4,0.6666666666666666,0.5
0.00939,0.98592,210.0,2.0,3.0,200015779_00131_1,0.9905660377358491,0.9859154929577465,0.9882352941176472
0.01429,0.99048,208.0,3.0,2.0,200015779_00150_2,0.985781990521327,0.9904761904761905,0.98812351543943
0.04724,0.95276,121.0,6.0,6.0,200003967_00040_1,0.952755905511811,0.952755905511811,0.952755905511811
0.41667,1.0,12.0,5.0,0.0,200006663_00003_2,0.7058823529411765,1.0,0.8275862068965517
0.01685,0.88483,315.0,6.0,41.0,200004148_00052_1,0.9813084112149533,0.8848314606741573,0.9305760709010339
0.01923,0.97115,202.0,4.0,6.0,hnsd007-023,0.9805825242718447,0.9711538461538461,0.9758454106280192
0.01639,0.96721,118.0,2.0,4.0,100249376_00050_2,0.9833333333333333,0.9672131147540983,0.9752066115702478
