fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.02273,1.0,88.0,2.0,0.0,100249537_00064_1,0.9777777777777777,1.0,0.9887640449438202
0.03788,0.9697,128.0,5.0,4.0,200021853-00008_1,0.9624060150375939,0.9696969696969697,0.9660377358490566
0.0031,0.89783,290.0,1.0,33.0,200004148_00039_2,0.9965635738831615,0.8978328173374613,0.9446254071661238
0.01303,0.99349,305.0,4.0,2.0,200014740-00071_1,0.9870550161812298,0.993485342019544,0.9902597402597403
0.03608,0.98454,191.0,7.0,3.0,umgy012-007,0.9646464646464646,0.9845360824742269,0.9744897959183675
0.08333,0.9,54.0,5.0,6.0,200021869-00016_2,0.9152542372881356,0.9,0.9075630252100839
0.01955,0.94134,337.0,7.0,21.0,brsk005-037,0.9796511627906976,0.9413407821229051,0.9601139601139601
0.00493,0.96059,390.0,2.0,16.0,brsk004-036,0.9948979591836735,0.9605911330049262,0.9774436090225564
0.0,0.97143,340.0,0.0,10.0,200021660-00042_2,1.0,0.9714285714285714,0.9855072463768115
0.00524,0.99476,190.0,1.0,1.0,200003076_00162_1,0.9947643979057592,0.9947643979057592,0.9947643979057592
0.00559,0.98883,177.0,1.0,2.0,200005598_00027_2,0.9943820224719101,0.9888268156424581,0.9915966386554622
0.0131,0.99127,227.0,3.0,2.0,200003076_00006_1,0.9869565217391304,0.9912663755458515,0.989106753812636
0.0099,1.0,101.0,1.0,0.0,200021851_00007_2,0.9901960784313726,1.0,0.9950738916256158
0.2375,1.0,80.0,19.0,0.0,hnsd004-003,0.8080808080808081,1.0,0.893854748603352
0.04469,0.98324,176.0,8.0,3.0,umgy006-034,0.9565217391304348,0.9832402234636871,0.9696969696969696
0.01433,0.97994,342.0,5.0,7.0,brsk002-029,0.9855907780979827,0.9799426934097422,0.9827586206896551
0.01613,1.0,186.0,3.0,0.0,umgy009-002,0.9841269841269841,1.0,0.9919999999999999
0.00885,0.99115,224.0,2.0,2.0,200003076_00056_2,0.9911504424778761,0.9911504424778761,0.9911504424778761
0.00946,0.99369,315.0,3.0,2.0,200014740-00018_2,0.9905660377358491,0.9936908517350158,0.9921259842519686
0.01587,0.98413,186.0,3.0,3.0,100249476_00014_2,0.9841269841269841,0.9841269841269841,0.9841269841269841
0.01626,0.99187,122.0,2.0,1.0,200021712-00010_2,0.9838709677419355,0.991869918699187,0.9878542510121457
0.04233,0.95767,181.0,8.0,8.0,200005598_00021_2,0.9576719576719577,0.9576719576719577,0.9576719576719578
0.03774,0.97484,155.0,6.0,4.0,100249416_00027_2,0.9627329192546584,0.9748427672955975,0.9687499999999999
0.02273,1.0,88.0,2.0,0.0,200021853-00032_2,0.9777777777777777,1.0,0.9887640449438202
0.40741,0.88889,24.0,11.0,3.0,200021869-00015_2,0.6857142857142857,0.8888888888888888,0.7741935483870968
0.02041,0.9898,97.0,2.0,1.0,100249376_00027_1,0.9797979797979798,0.9897959183673469,0.9847715736040609
0.02717,0.98913,182.0,5.0,2.0,umgy009-005,0.9732620320855615,0.9891304347826086,0.981132075471698
0.10714,1.0,28.0,3.0,0.0,100249537_00031_1,0.9032258064516129,1.0,0.9491525423728813
0.07438,0.97521,118.0,9.0,3.0,200015779_00013_1,0.9291338582677166,0.9752066115702479,0.9516129032258065
0.03086,0.94444,153.0,5.0,9.0,200021763-00027_2,0.9683544303797469,0.9444444444444444,0.9562499999999999
0.00469,0.93662,399.0,2.0,27.0,200022050-00011_2,0.9950124688279302,0.9366197183098591,0.9649334945586456
0.1131,0.97024,163.0,19.0,5.0,200021712-00031_1,0.8956043956043956,0.9702380952380952,0.9314285714285715
0.0,0.99371,158.0,0.0,1.0,200021712-00014_1,1.0,0.9937106918238994,0.9968454258675079
0.16667,0.83333,5.0,1.0,1.0,hnsd003-013,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.00465,0.9907,213.0,1.0,2.0,200003076_00160_2,0.9953271028037384,0.9906976744186047,0.9930069930069931
0.00417,0.90833,218.0,1.0,22.0,200015779_00022_1,0.9954337899543378,0.9083333333333333,0.9498910675381264
0.0197,0.96552,196.0,4.0,7.0,hnsd006-008,0.98,0.9655172413793104,0.9727047146401985
0.0,0.95787,341.0,0.0,15.0,brsk002-045,1.0,0.9578651685393258,0.9784791965566714
0.00758,0.87879,232.0,2.0,32.0,200015779_00020_2,0.9914529914529915,0.8787878787878788,0.931726907630522
0.03922,0.98693,151.0,6.0,2.0,200015779_00074_2,0.9617834394904459,0.9869281045751634,0.9741935483870968
0.03284,0.96119,322.0,11.0,13.0,brsk003-039,0.9669669669669669,0.9611940298507463,0.9640718562874251
0.025,1.0,40.0,1.0,0.0,100249537_00004_1,0.975609756097561,1.0,0.9876543209876543
2.23529,0.82353,14.0,38.0,3.0,200021660-00029_2,0.2692307692307692,0.8235294117647058,0.4057971014492754
0.00435,0.98696,227.0,1.0,3.0,200003076_00049_1,0.9956140350877193,0.9869565217391304,0.9912663755458515
0.03226,0.98157,213.0,7.0,4.0,umgy012-035,0.9681818181818181,0.9815668202764977,0.9748283752860412
0.14815,1.0,27.0,4.0,0.0,100249537_00075_1,0.8709677419354839,1.0,0.9310344827586207
0.0,0.99567,230.0,0.0,1.0,200003076_00106_2,1.0,0.9956709956709957,0.9978308026030369
4.66667,1.0,3.0,14.0,0.0,200021869-00003_1,0.17647058823529413,1.0,0.3
0.01408,0.98592,210.0,3.0,3.0,200015779_00131_1,0.9859154929577465,0.9859154929577465,0.9859154929577465
0.01429,0.98571,207.0,3.0,3.0,200015779_00150_2,0.9857142857142858,0.9857142857142858,0.9857142857142858
0.04724,0.93701,119.0,6.0,8.0,200003967_00040_1,0.952,0.937007874015748,0.9444444444444443
0.91667,1.0,12.0,11.0,0.0,200006663_00003_2,0.5217391304347826,1.0,0.6857142857142856
0.0309,0.89888,320.0,11.0,36.0,200004148_00052_1,0.9667673716012085,0.898876404494382,0.9315866084425036
0.01923,0.97115,202.0,4.0,6.0,hnsd007-023,0.9805825242718447,0.9711538461538461,0.9758454106280192
0.02459,0.94262,115.0,3.0,7.0,100249376_00050_2,0.9745762711864406,0.9426229508196722,0.9583333333333334
0.0,0.84615,11.0,0.0,2.0,umgy007-039,1.0,0.8461538461538461,0.9166666666666666
0.0099,0.98515,199.0,2.0,3.0,umgy010-019,0.9900497512437811,0.9851485148514851,0.9875930521091811
0.01333,0.96667,145.0,2.0,5.0,umgy007-025,0.9863945578231292,0.9666666666666667,0.9764309764309764
0.0,1.0,3.0,0.0,0.0,umgy003-012,1.0,1.0,1.0
0.05714,0.99429,174.0,10.0,1.0,umgy003-031,0.9456521739130435,0.9942857142857143,0.9693593314763231
0.01235,0.98765,80.0,1.0,1.0,100249537_00085_1,0.9876543209876543,0.9876543209876543,0.9876543209876543
0.11111,0.98889,89.0,10.0,1.0,100249537_00039_2,0.898989898989899,0.9888888888888889,0.9417989417989419
0.0266,0.98936,186.0,5.0,2.0,hnsd006-030,0.9738219895287958,0.9893617021276596,0.9815303430079155
0.08029,0.9635,132.0,11.0,5.0,100249416_00017_1,0.9230769230769231,0.9635036496350365,0.942857142857143
0.08416,0.99505,201.0,17.0,1.0,200021660-00031_2,0.9220183486238532,0.995049504950495,0.9571428571428571
0.04225,0.98592,140.0,6.0,2.0,200021763-00019_2,0.958904109589041,0.9859154929577465,0.9722222222222222
